métier,Parcours,Similarity Score,Materials_Merged
indemnisation assuranc,cca,14.79714,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
management groupe service assurance,,14.236019,algorithmique structure donnée système exploitation système logique architecture ordinateur analyse statistique probabiliter principe gestion comptabilité général compétence numérique excel avancer business communication principe économie travail collaboratif interfac homme machine séminair algorithmique structure donnée fondement réseau introduction système information logique mathématique algèbr système information comptable gestion financier business communication développement durable projet tuteurer introduction informatique décisionnel marketing stratégique programmation programmation web conception système information base donnée statistique inférentielle fondement marketing digital economie numérique ethiqu loi projet professionnel personnel ppp social media management projet séminair gestion opération logistique business process management framework net programmation sgbd administration gouvernance sécurité problem solving anglais projet tuteurer métier entrepreneuriat innovation big dater intégration erp génie logiciel gestion projet développement mobile développement business intelligence stratégie affaire électronique professional network service gestion carrière anglais affaire business crm séminaire métier
management groupe service assurance,lsgc,14.261929,principe gestion comptabilité financier microéconomi mathématique introduction droit mathématique financier anglais aptitude tic principe gestion comptabilité financier mathématique statistique descriptif calcul probabilité macroéconomie droit société commercial anglais aptitude tic comptabilité intermédiaire comptabilité gestion séminaire métier anglais affaire culture entrepreneurial droit affaire économie affaire comptabiliter intermédiaire contrôle interne tva droit consommation méthodologie élaboration rapport stage anglais affaire projet professionnel personnel droit obligation sûreté management projet comptabilité avancer cadre conceptuel présentation état financier contrôle gestion élaboration validation rapport stage anglais comptable financier préparation vie professionnel management stratégique droit enregistrement timbre comptabilité international ifr audit décision financier projet tutorer anglais comptable financier informatique système information préparation certification sage economie tic comptabilité sectoriel
management groupe service assurance,gamma,14.400106,intégration probabilité analyse numérique atelier programmation python base donnée statistique inférentielle introduction actuariat comptabilité général financier théorie risque séminaire projet tutorer programmation vba modèle linéaire généraliser série temporel fondamental probabilité méthode monte carlo actuariat vie non vie machine learning modèle financier management risque comptabilité sectoriel assurance droit numérique protection donnée personnel séminaire projet tutorer programmation vba modèle aléatoire actuariat finance actuariat réassurance risque extrême modélisation mesure risque asset and liability management alm apprentissage statistique big dater analytic droit entreprise assurance réglementation gestion risque assurance préparation insertion professionnel séminair projet tutorer stage mois entreprise sfe
management groupe service assurance,cca,14.446774,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
rédaction gestion assurance,lsgc,14.193895,principe gestion comptabilité financier microéconomi mathématique introduction droit mathématique financier anglais aptitude tic principe gestion comptabilité financier mathématique statistique descriptif calcul probabilité macroéconomie droit société commercial anglais aptitude tic comptabilité intermédiaire comptabilité gestion séminaire métier anglais affaire culture entrepreneurial droit affaire économie affaire comptabiliter intermédiaire contrôle interne tva droit consommation méthodologie élaboration rapport stage anglais affaire projet professionnel personnel droit obligation sûreté management projet comptabilité avancer cadre conceptuel présentation état financier contrôle gestion élaboration validation rapport stage anglais comptable financier préparation vie professionnel management stratégique droit enregistrement timbre comptabilité international ifr audit décision financier projet tutorer anglais comptable financier informatique système information préparation certification sage economie tic comptabilité sectoriel
rédaction gestion assurance,find,14.211664,intelligence artificiel finance analyse financier approfondir finance marché microstructure marché financier droit financier anglais culture numérique séminaire métier projet tutorer vba excel sgbd big dater inclusion financier finance international globalisation financier management innovation produit bancaire innovant econométrie appliquer finance efficacité professionnel compétence personnel projet tutorer solution erp crm core banking actuariat datamining trading haute fréquence thf technologie rpa technologie blockchain crypto monnaie ethique risque fintech cyber sécurité cryptographie regtech loi relatif protection donnée personnel anglais préparation insertion vie professionnel atelier design thinking séminaire métier iii projet tutorer iii application financier open banking assurance digital insurtech stage fin étude accès master
rédaction gestion assurance,cca,14.23327,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
rédaction gestion assurance,,14.320778,algorithmique structure donnée système exploitation système logique architecture ordinateur analyse statistique probabiliter principe gestion comptabilité général compétence numérique excel avancer business communication principe économie travail collaboratif interfac homme machine séminair algorithmique structure donnée fondement réseau introduction système information logique mathématique algèbr système information comptable gestion financier business communication développement durable projet tuteurer introduction informatique décisionnel marketing stratégique programmation programmation web conception système information base donnée statistique inférentielle fondement marketing digital economie numérique ethiqu loi projet professionnel personnel ppp social media management projet séminair gestion opération logistique business process management framework net programmation sgbd administration gouvernance sécurité problem solving anglais projet tuteurer métier entrepreneuriat innovation big dater intégration erp génie logiciel gestion projet développement mobile développement business intelligence stratégie affaire électronique professional network service gestion carrière anglais affaire business crm séminaire métier
souscription dassuranc,,14.970555,principe gestion fondamental mathématique fondamentau finance probabilité statistique base donnée sgbd marketing analyse statistique atelier programmation gestion projet conduite changement management innovation recherche opérationnel sgbd sql système information décisionnel knowledge management veille intelligence technologique compétence personnel relationnelle séminaire métier anglais management stratégique pilotage projet décisionnel série temporel introduction cloud computing machine learning dater mining anglais séminaire métier projet tuteurer orienter business intelligence analyse donnée financier analyse donnée marketing business business process management droit donnée numérique deep learning gouvernance sécurité donnée big dater analytic dater visualization anglais iii projet tutorer orienter big dater séminair métier architecture orienter servicer iot digital technology business valoir atelier stage mois entreprise sfe
souscription dassuranc,gamma,15.027939,intégration probabilité analyse numérique atelier programmation python base donnée statistique inférentielle introduction actuariat comptabilité général financier théorie risque séminaire projet tutorer programmation vba modèle linéaire généraliser série temporel fondamental probabilité méthode monte carlo actuariat vie non vie machine learning modèle financier management risque comptabilité sectoriel assurance droit numérique protection donnée personnel séminaire projet tutorer programmation vba modèle aléatoire actuariat finance actuariat réassurance risque extrême modélisation mesure risque asset and liability management alm apprentissage statistique big dater analytic droit entreprise assurance réglementation gestion risque assurance préparation insertion professionnel séminair projet tutorer stage mois entreprise sfe
souscription dassuranc,find,15.032857,intelligence artificiel finance analyse financier approfondir finance marché microstructure marché financier droit financier anglais culture numérique séminaire métier projet tutorer vba excel sgbd big dater inclusion financier finance international globalisation financier management innovation produit bancaire innovant econométrie appliquer finance efficacité professionnel compétence personnel projet tutorer solution erp crm core banking actuariat datamining trading haute fréquence thf technologie rpa technologie blockchain crypto monnaie ethique risque fintech cyber sécurité cryptographie regtech loi relatif protection donnée personnel anglais préparation insertion vie professionnel atelier design thinking séminaire métier iii projet tutorer iii application financier open banking assurance digital insurtech stage fin étude accès master
souscription dassuranc,cca,15.067417,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
accueil service bancaire,mdsi,14.655842,probabilité analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire architecture système information management système information digital technology business valoir management stratégique transition digital business droit numérique anglais efficacité professionnel développement personnel séminaire métier projet intégré management projet conduite changement veille intelligence technologique transformation digital supply chain web marketing business process management analyse donnée prise décision outillage machine learning projet intégré anglais compétence personnel relationnelle séminaire métier décisionnel big dater solution erp crm gouvernance audit big dater gouvernance donnée personnel management équipe transition digital management interculturel analyse conception modélisation data warehous probabiliter analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire stage entreprise pfe
accueil service bancaire,mkd,14.690419,probabilité statistique analyse statistique analyse comportement consommateur marketing stratégique opérationnel atelier programmation python management stratégique transition digital management projet fondement technique communication digital recherche marketing business anglais efficacité professionnel développement personnel séminair métier droit numérique rse projet intégré web marketing marketing mobile technologie web infographie web design social media marketing crm management système information anglais compétence personnel relationnelle séminaire métier projet intégré développement web introduction big dater web analyse analyse donnée marketing merchandising commerce politique référencement management interculturel anglais iii préparation insertion vie professionnel séminaire métier iii design thinking projet intégré iii gouvernance donnée personnel stage entreprise pfe
