métier,Parcours,Similarity Score
conduite denquête,MDSI,14.466315
conduite denquête,BA,14.470726
conduite denquête,CCA,14.769815
conduite denquête,GAMMA,15.146832
conseil organisation management dentreprise,LSGC,14.3911495
conseil organisation management dentreprise,MKD,14.43568
conseil organisation management dentreprise,CCA,14.578102
conseil organisation management dentreprise,BI,14.634886
étude prospectif socio économique,BIS,14.765966
étude prospectif socio économique,MKD,14.783066
étude prospectif socio économique,BA,14.918432
étude prospectif socio économique,GAMMA,15.144936
assistanat ressource humain,MKD,14.721464
assistanat ressource humain,MDSI,14.798784
assistanat ressource humain,CCA,14.805881
assistanat ressource humain,LSGC,14.831733
développement ressource humain,BIS,14.921835
développement ressource humain,BI,14.942954
développement ressource humain,CCA,15.054598
développement ressource humain,LSGC,15.121986
management ressource humain,MDSI,14.831319
management ressource humain,MKD,14.929661
management ressource humain,LSGC,15.020825
management ressource humain,CCA,15.044949
opération administratif,LSGM,14.40601
opération administratif,LMAD,14.431698
opération administratif,FIND,14.453854
opération administratif,CCA,14.565273
assistanat direction,LSGM,14.414076
assistanat direction,MKD,14.482967
assistanat direction,CCA,14.574378
assistanat direction,LSGC,14.718838
assistanat technique administratif,BIS,14.238152
assistanat technique administratif,CCA,14.363028
assistanat technique administratif,LSGC,14.366828
assistanat technique administratif,BI,14.376768
secrétariat comptable,MKD,14.689522
secrétariat comptable,LSGC,14.723971
secrétariat comptable,MDSI,14.743383
secrétariat comptable,CCA,14.8381
administration vente,LSGC,14.780236
administration vente,MKD,14.901527
administration vente,GAMMA,14.966547
administration vente,CCA,15.122952
analyse tendance,BIS,14.770054
analyse tendance,MDSI,14.861437
analyse tendance,LSGC,14.875936
analyse tendance,CCA,14.990424
management gestion produit,GAMMA,14.497852
management gestion produit,BIS,14.529663
management gestion produit,MKD,14.582188
management gestion produit,CCA,14.67168
management relation clientèle,LSGC,14.452942
management relation clientèle,BI,14.560707
management relation clientèle,MKD,14.613809
management relation clientèle,CCA,14.679163
marketing,BIS,14.944458
marketing,MKD,14.992796
marketing,MDSI,15.006775
marketing,CCA,15.086794
promotion vente,BIS,14.409273
promotion vente,MDSI,14.459682
promotion vente,CCA,14.503797
promotion vente,GAMMA,14.613249
stratégie commercial,FIND,14.53725
stratégie commercial,GAMMA,14.634953
stratégie commercial,MKD,14.733715
stratégie commercial,CCA,14.911552
administration système dinformation,MDSI,14.942749
administration système dinformation,BIS,14.986416
administration système dinformation,CCA,15.030723
administration système dinformation,BI,15.149234
expertise support système dinformation,FIND,14.762625
expertise support système dinformation,MDSI,14.791695
expertise support système dinformation,BI,14.970732
expertise support système dinformation,CCA,14.993736
direction système dinformation,MDSI,14.643864
direction système dinformation,FIND,14.676605
direction système dinformation,CCA,14.7568
direction système dinformation,BI,14.789579
étude développement réseau télécommunication,MDSI,14.54612
étude développement réseau télécommunication,GAMMA,14.557173
étude développement réseau télécommunication,CCA,14.64152
étude développement réseau télécommunication,MKD,14.680699
étude développement informatique,BI,14.997665
étude développement informatique,BIS,15.096713
étude développement informatique,MKD,15.128536
étude développement informatique,CCA,15.168321
conseil maîtris douvrage système dinformation,GAMMA,14.786633
conseil maîtris douvrage système dinformation,BIS,14.879675
conseil maîtris douvrage système dinformation,CCA,15.010429
conseil maîtris douvrage système dinformation,BI,15.370458
exploitation système communication,CCA,15.226191
exploitation système communication,BI,15.242522
exploitation système communication,MDSI,15.3204975
exploitation système communication,GAMMA,15.425571
production exploitation système dinformation,BI,14.924486
production exploitation système dinformation,MDSI,15.029037
production exploitation système dinformation,GAMMA,15.049742
production exploitation système dinformation,CCA,15.131683
gestion opération circulation international marchandise,MDSI,14.647858
gestion opération circulation international marchandise,GAMMA,14.667389
gestion opération circulation international marchandise,MKD,14.780697
gestion opération circulation international marchandise,CCA,14.796507
conception organisation chaîne logistique,GAMMA,14.60994
conception organisation chaîne logistique,BI,14.628204
conception organisation chaîne logistique,MDSI,14.665272
conception organisation chaîne logistique,CCA,14.866026
direction site logistique,MKD,14.801469
direction site logistique,BIS,14.849754
direction site logistique,GAMMA,14.87101
direction site logistique,CCA,15.059603
intervention technique dexploitation logistique,MDSI,14.867001
intervention technique dexploitation logistique,LSGC,14.914105
intervention technique dexploitation logistique,GAMMA,15.256074
intervention technique dexploitation logistique,CCA,15.256289
